employee_id,full_name,email,department,course_name,category,due_date,days_overdue
203,Travis Mcguire,travis.mcguire@joby.training,Safety & Compliance,LMS Platform Orientation,Onboarding,2025-06-21,354
222,David Duran,david.duran@joby.training,People & HR,LMS Platform Orientation,Onboarding,2025-08-07,307
151,Phyllis Manning,phyllis.manning@joby.training,Manufacturing & Quality,LMS Platform Orientation,Onboarding,2025-09-03,280
50,Jessica Harris,jessica.harris@joby.training,Engineering & Certification,LMS Platform Orientation,Onboarding,2025-11-19,203
232,Sandra French,sandra.french@joby.training,Software & Data,LMS Platform Orientation,Onboarding,2025-12-18,174
279,Jennifer Ortiz,jennifer.ortiz@joby.training,Corporate & Legal,Emergency Procedures Training,Mandatory,2025-12-26,166
269,Tracy Hernandez,tracy.hernandez@joby.training,Corporate & Legal,Emergency Procedures Training,Mandatory,2025-12-26,166
91,Lisa Evans,lisa.evans@joby.training,Engineering & Certification,Emergency Procedures Training,Mandatory,2026-01-04,157
208,David Lee,david.lee@joby.training,Safety & Compliance,Emergency Procedures Training,Mandatory,2026-01-04,157
104,Michelle Nolan,michelle.nolan@joby.training,Engineering & Certification,Emergency Procedures Training,Mandatory,2026-01-10,151
10,Colin Abbott,colin.abbott@joby.training,Flight Operations,Emergency Procedures Training,Mandatory,2026-01-11,150
116,Michelle Rasmussen,michelle.rasmussen@joby.training,Manufacturing & Quality,LMS Platform Orientation,Onboarding,2026-01-12,149
248,Mia Rivera,mia.rivera@joby.training,Software & Data,Emergency Procedures Training,Mandatory,2026-02-13,117
9,Susan Rogers,susan.rogers@joby.training,Flight Operations,Emergency Procedures Training,Mandatory,2026-02-15,115
38,Jose Mason,jose.mason@joby.training,Flight Operations,Emergency Procedures Training,Mandatory,2026-02-17,113
120,Joseph Rodriguez,joseph.rodriguez@joby.training,Manufacturing & Quality,Emergency Procedures Training,Mandatory,2026-02-17,113
246,Cynthia Vasquez,cynthia.vasquez@joby.training,Software & Data,Emergency Procedures Training,Mandatory,2026-02-17,113
86,Wendy Jones,wendy.jones@joby.training,Engineering & Certification,Emergency Procedures Training,Mandatory,2026-03-03,99
12,Teresa Gray,teresa.gray@joby.training,Flight Operations,Emergency Procedures Training,Mandatory,2026-03-03,99
139,James Johnson,james.johnson@joby.training,Manufacturing & Quality,Emergency Procedures Training,Mandatory,2026-03-08,94
145,Gregory Rubio,gregory.rubio@joby.training,Manufacturing & Quality,Emergency Procedures Training,Mandatory,2026-03-16,86
46,Todd Jones,todd.jones@joby.training,Engineering & Certification,Emergency Procedures Training,Mandatory,2026-03-20,82
28,Jose Richards,jose.richards@joby.training,Flight Operations,LMS Platform Orientation,Onboarding,2026-04-03,68
149,Patricia Salazar,patricia.salazar@joby.training,Manufacturing & Quality,Emergency Procedures Training,Mandatory,2026-04-10,61
214,Joshua Mccann,joshua.mccann@joby.training,People & HR,Emergency Procedures Training,Mandatory,2026-04-12,59
171,Jason Murphy,jason.murphy@joby.training,Manufacturing & Quality,Emergency Procedures Training,Mandatory,2026-04-15,56
150,William Rivas,william.rivas@joby.training,Manufacturing & Quality,Emergency Procedures Training,Mandatory,2026-04-23,48
271,Stanley Morris,stanley.morris@joby.training,Corporate & Legal,Emergency Procedures Training,Mandatory,2026-04-27,44
220,Crystal Brown,crystal.brown@joby.training,People & HR,Emergency Procedures Training,Mandatory,2026-04-27,44
231,Jacqueline Gibson,jacqueline.gibson@joby.training,Software & Data,Emergency Procedures Training,Mandatory,2026-04-30,41
187,Kimberly Reed,kimberly.reed@joby.training,Safety & Compliance,FAA Safety Fundamentals,Mandatory,2026-05-07,34
157,Jasmine Brown,jasmine.brown@joby.training,Manufacturing & Quality,Harassment Prevention,Mandatory,2026-05-09,32
198,Hunter Lewis,hunter.lewis@joby.training,Safety & Compliance,LMS Platform Orientation,Onboarding,2026-05-15,26
260,Robin Murray,robin.murray@joby.training,Software & Data,Harassment Prevention,Mandatory,2026-05-18,23
264,Patrick Weeks,patrick.weeks@joby.training,Software & Data,Data Privacy & Cybersecurity,Mandatory,2026-05-25,16
35,Erin Herrera,erin.herrera@joby.training,Flight Operations,Aviation Regulations Overview,Mandatory,2026-05-29,12
216,Travis Salas,travis.salas@joby.training,People & HR,FAA Safety Fundamentals,Mandatory,2026-05-29,12
47,Katie Anderson,katie.anderson@joby.training,Engineering & Certification,Data Privacy & Cybersecurity,Mandatory,2026-05-30,11
68,Sara Allison,sara.allison@joby.training,Engineering & Certification,Harassment Prevention,Mandatory,2026-05-30,11
132,Amy Smith,amy.smith@joby.training,Manufacturing & Quality,FAA Safety Fundamentals,Mandatory,2026-05-30,11
225,Veronica Torres,veronica.torres@joby.training,People & HR,FAA Safety Fundamentals,Mandatory,2026-05-31,10
258,John Moore,john.moore@joby.training,Software & Data,Harassment Prevention,Mandatory,2026-06-02,8
225,Veronica Torres,veronica.torres@joby.training,People & HR,Data Privacy & Cybersecurity,Mandatory,2026-06-03,7
134,Steven Ramos,steven.ramos@joby.training,Manufacturing & Quality,Quality Management Systems,Mandatory,2026-06-04,6
25,Nancy Edwards,nancy.edwards@joby.training,Flight Operations,FAA Safety Fundamentals,Mandatory,2026-06-05,5
