id,username,firstname,lastname,email,program,student_level,cohort_start,deleted
1,danielle.johnson1,Danielle,Johnson,danielle.johnson@sjsu.edu,MS Business Analytics,Teaching Assistant,2024-12-18,0
2,jeffrey.doyle2,Jeffrey,Doyle,jeffrey.doyle@sjsu.edu,MS Business Analytics,Graduate Student,2025-09-26,0
3,patricia.miller3,Patricia,Miller,patricia.miller@sjsu.edu,MS Business Analytics,Graduate Student,2025-03-31,0
4,anthony.robinson4,Anthony,Robinson,anthony.robinson@sjsu.edu,MS Business Analytics,Teaching Assistant,2025-05-29,0
5,anthony.gonzalez5,Anthony,Gonzalez,anthony.gonzalez@sjsu.edu,MS Business Analytics,Graduate Student,2025-09-07,0
6,amy.robinson6,Amy,Robinson,amy.robinson@sjsu.edu,MS Business Analytics,Graduate Student,2025-07-27,0
7,lisa.smith7,Lisa,Smith,lisa.smith@sjsu.edu,MS Business Analytics,Graduate Student,2025-12-25,0
8,helen.peterson8,Helen,Peterson,helen.peterson@sjsu.edu,MS Business Analytics,Graduate Student,2024-09-25,0
9,susan.rogers9,Susan,Rogers,susan.rogers@sjsu.edu,MS Business Analytics,Teaching Assistant,2024-08-13,0
10,colin.abbott10,Colin,Abbott,colin.abbott@sjsu.edu,MS Business Analytics,Graduate Student,2025-08-06,0
11,lindsay.blair11,Lindsay,Blair,lindsay.blair@sjsu.edu,MS Business Analytics,Teaching Assistant,2025-06-19,0
12,teresa.gray12,Teresa,Gray,teresa.gray@sjsu.edu,MS Business Analytics,Teaching Assistant,2025-06-30,0
13,maria.montgomery13,Maria,Montgomery,maria.montgomery@sjsu.edu,MS Business Analytics,Teaching Assistant,2026-02-03,0
14,barbara.bush14,Barbara,Bush,barbara.bush@sjsu.edu,MS Business Analytics,Graduate Student,2024-07-11,0
15,jeremy.roberts15,Jeremy,Roberts,jeremy.roberts@sjsu.edu,MS Business Analytics,Teaching Assistant,2024-08-03,0
16,jesse.garcia16,Jesse,Garcia,jesse.garcia@sjsu.edu,MS Business Analytics,Graduate Student,2024-12-20,0
17,cynthia.diaz17,Cynthia,Diaz,cynthia.diaz@sjsu.edu,MS Business Analytics,Graduate Student,2025-02-23,0
18,jason.adams18,Jason,Adams,jason.adams@sjsu.edu,MS Business Analytics,Graduate Student,2026-03-27,0
19,deborah.lynch19,Deborah,Lynch,deborah.lynch@sjsu.edu,MS Business Analytics,Graduate Student,2024-10-06,0
20,jessica.martin20,Jessica,Martin,jessica.martin@sjsu.edu,MS Business Analytics,Graduate Student,2025-03-01,0
